Project,Requirements
ATtila_15,True
AlexBerUtils_21,True
BeneDict_42,True
Breathe_46,True
Butter.MAS.PythonAPI_48,True
Buttonwood_49,True
FinanceScraper_107,True
Flask-Multi-Redis_123,True
HikLoad_158,True
Neuraxle_229,True
ODSCharts_235,True
PropArgs_267,True
PythonTwitchBotFramework_342,True
QExPy_345,True
RegonAPI_363,True
TRamWAy_423,True
Tale_428,True
URLExtract_444,True
WRFpy_455,True
WikidataIntegrator_460,True
WolkGatewayModule-SDK-Python_461,True
accessify_494,True
addon-check_513,True
advisory-parser_519,True
aeneas_520,True
aiobfd_546,True
algorithms_598,True
algorithms_599,True
algorithms_600,True
allantools_610,True
alphanum-code_621,True
alteruphono_629,True
anesthetic_652,True
anitopy_657,True
api-python_687,True
appconfigs_699,True
aries-staticagent-python_734,True
artext_744,True
async_blp_788,True
atlasclient_807,True
aud_822,True
authnzerver_833,True
autoclasswrapper_842,True
autodoc_846,True
baconator_917,True
baroness_928,True
barracks_929,True
base10_930,True
blackmamba_1027,True
blmath_1037,True
bloomtime_1044,True
bloop_1045,True
bottle-neck.git_1090,True
bruker2nifti_1122,True
btlewrap_1127,True
bytecode_tools_1150,True
cBinder_1156,True
cabrillo_1158,True
cellpy_1242,True
centreon-sdk-python_1247,True
chazutsu_1299,True
city-scrapers-core_1346,True
cmpa_1409,True
codemod_1429,True
compare-mt_1462,True
compyle_1469,True
confight_1491,True
configparse_1493,True
configutil_1496,True
coo_1528,True
cornice.ext.swagger_1545,True
cprior_1563,True
crom_1578,False
cs207-FinalProject_1600,True
cuckoopy_1637,True
cursebox_1640,True
darkchess_1678,True
darr_1680,True
dask-glm_1684,True
data-genie.git_1689,True
dataIO-project_1695,True
deconzpy_1759,True
decorpy_1762,True
dectate_1764,True
deviceidentifier-py_1801,True
dftimewolf_1814,True
django-plotly-dash_1906,True
docci_1956,True
dockerfile_bakery_1969,True
dockerpty_1970,True
domain-validation_1990,True
domain2idna_1991,True
draft_2025,True
dremio_client_2033,True
easy_python_requirements_2100,True
econ-ark_2122,True
edk2-pytool-library_2128,True
emu_2173,True
envyaml_2209,True
epochs_2214,True
epsagon-python_2216,True
etlstat.git_2238,True
expstock_2289,True
ext_pylib_2292,True
feature_engine_2363,True
fhir_parse_qs_2377,True
fhir_parse_qs_2378,True
filtered-intervaltree_2401,True
firestore_2412,True
fish_base_2416,True
flask-apify_2451,True
flask-ipban_2458,True
flynt_2507,True
fmi_2509,True
fooof_2525,True
freegs_2554,True
freezegun_2560,True
frmt.git_2564,True
gabbi_2607,True
geogrids_2651,True
geomstats_2657,True
git-task_2702,True
gitlab-stats_2722,True
gpuview_2765,True
grade_2768,True
graphene-field-permission_2775,True
gwopensci_2816,True
happybase-mock_2845,True
hex2file_2889,True
hybra-core_2989,True
identixone-python_3023,True
iexfinance_3031,True
importanize_3073,True
isbg_3165,True
itachip2ir_3187,True
jackfruit_3203,True
jgutils_3219,True
jinja2-github_3226,True
json-schema-to-class_3263,True
json-storage-manager_3264,True
jtos_3304,True
jupyter-sigplot_3319,True
kademlia_3334,True
kafkian_3338,True
kaldiio_3343,True
kb_python_3353,True
keepassxc-pwned_3356,True
keras-bert_3359,True
kevinarpe-rambutan3_3372,True
kevinarpe-rambutan3_3373,True
kevinarpe-rambutan3_3374,True
kindle-maker_3387,True
kool_3411,True
krllint_3417,True
kuber_3422,True
kuber_3423,True
kuber_3424,True
kuber_3425,True
layouts_3474,True
lazygrid_3481,True
leibniz_3509,True
letra_3517,True
li_3525,True
lib-cove_3527,True
limix-lmm_3562,True
litedb_3587,True
lithoxyl_3589,True
live-trace_3591,True
ln2sql_3601,True
logging2_3624,True
logx_3636,True
loslassa_3646,True
mackinac_3677,True
markdownreveal_3715,True
marlin-bookmark_3729,True
mcpartools_3757,True
memacs_3772,True
merakicommons_3781,True
mgun_3806,True
mmpy_bot_3858,True
mmsim_3859,True
msteams_3950,True
music-dl_3973,True
musicbox_3976,True
mutmut_3981,True
nala_4005,True
neopysqlite_4056,True
netutils-linux_4080,True
neurodsp_4082,True
nhl_4095,True
nilabels_4107,True
nmrstarlib_4119,True
nodal_4125,True
noipy_4127,True
ns1-python_4149,True
nwb-docutils_4171,True
oct_4203,True
odoo-env_4212,True
odoo-module-migrator_4213,True
olutils_4224,True
orator-annotate_4273,True
osc-tiny_4282,True
osmnx_4288,True
overpass-api-python-wrapper_4301,True
override_4302,True
packeteer_4317,True
palmetto-py_4332,True
panamah-sdk-python_4335,True
pandas-datareader_4339,True
parse_it_4372,True
parseyml_4377,True
pbpstats_4399,True
pdfebc-core_4410,True
peeweext_4421,True
persistentdatatools_4444,True
phonon-enumeration_4461,True
pint_4499,True
plcx_4541,True
poker_4563,True
poly_decomp_4576,True
pooch_4582,True
praxxis_4615,True
prettyconf_4632,True
proxy-db_4668,True
proxy_factory_4670,True
proxytest_4671,True
psi-collect_4681,True
psnprices_4683,True
psrqpy_4687,True
psv_4688,True
pubtools-pulp_4700,True
py-KISSmetrics_4730,True
py-finstmt_4751,True
py-idstools_4760,True
py-vkontakte_4809,True
py2pack_4816,True
pyPhenology_4854,True
pyalcs_4886,True
pyani_4891,True
pyatlasclient_4897,True
pyautoupdate_4899,True
pybrake_4914,True
pyburstlib_4925,True
pydeploy_5006,True
pydng_5016,True
pyecore_5027,True
pyflat_5056,True
pylib_5130,True
pymq_5176,True
pynetlinux_5186,True
pyogt_5201,True
pyosf_5209,True
pyparam_5218,True
pyrgg_5268,True
pyserverpilot_5287,True
pystrat2048_5314,True
pytenable_5330,True
pytest-antilru_5334,True
pytest-django_5370,True
pytest-eucalyptus_5388,True
pytest-random-order_5455,True
python-artron.git_5513,True
python-bitcoin-utils_5521,True
python-clickclick_5536,True
python-codeforces_5542,True
python-draytonwiser-api_5570,True
python-matlab-functions_5647,True
python-nozomi_5665,True
python-opendaq_5670,True
python-resource-container_5708,True
python-sdk_5722,True
python-task-queue_5752,True
python-telegram-handler_5754,True
python-ubersmith_5776,True
python-varname_5779,True
python-xrpc_5792,True
python2latex_5798,True
pytradfri_5833,True
pyusuggest_5844,True
pywsl_5865,True
qmap_5892,True
recipe-scrapers_5979,True
redisqueue_5987,True
redscope_5992,True
retriever_6059,True
ruTS_6142,True
sacc_6167,True
saga_6172,True
sat-search_6195,True
schematics_6216,True
schematics_to_swagger_6217,True
scikit-build_6225,True
scrapbook_6241,True
scrapyrt_6252,True
securenative-python_6274,True
sedparse_6277,True
serpextract_6314,True
service-manager_6320,True
setigen_6323,True
seval_6337,True
sevenbridges-python_6338,True
shadow_6345,True
shiftpy_6362,True
shrun_6373,True
simanneal_6396,True
skillful_6445,True
sleeper-api-wrapper_6467,True
slowjam_6476,True
snippy_6500,True
spintest_6565,True
stackify-api-python_6628,True
strato-skipper_6674,True
sundry_6723,True
supertunnel_6727,True
suricata-update_6733,True
svp_6743,True
swytcher_6757,True
symspellpy_6762,True
tempenviron_6836,True
terrascan_6863,True
test_lab_6872,True
testcube-client_6877,True
tmsyscall_6977,True
token-bucket_6984,True
toolkit_6995,True
toy-auto-diff_7028,True
transitions_7042,True
trashtalk_7050,True
travispy_7057,True
tunacell_7095,True
uhashring_7148,True
usolitaire_7216,True
util_7219,True
utilpy_7220,True
utter-more_7227,True
vault-dev_7250,True
vdu-nlp-services_7258,True
viper_7293,True
waddle_7329,True
wasp-general_7341,True
wcraas_common_7354,True
wellpathpy_7379,True
wnget_7429,True
woodpecker_7432,True
words-to-regular-expression_7440,True
wrktoolbox_7456,True
yaml-resume_7513,True
zanna_7551,True
zenoh-python_7559,True
zerolog_7561,True
